publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Au temps où on lisait le grec en Égypte 									http://hdl.handle.net/2333.1/qz612qgg	Jean Bingen	qz612qgg		fulltext							Ancient World Digital Library	global.5644.217	680266671		680266671	monograph								free
Babylonian horoscopes 									http://hdl.handle.net/2333.1/xd254dr4	Francesca Rochberg	xd254dr4		fulltext							Ancient World Digital Library	global.5644.217	796384408 		796384408 	monograph								free
Babylonian Planetary Omens: Part Three 									http://hdl.handle.net/2333.1/3j9kd6r3	E. Reiner 	3j9kd6r3		fulltext							Ancient World Digital Library	global.5644.217	624470115		624470115	monograph								free
Balabish 									http://hdl.handle.net/2333.1/ngf1vtp6		ngf1vtp6		fulltext							Ancient World Digital Library	global.5644.217	827456882		827456882	monograph								free
Beiträge zur Geschichte Ägyptens unter dem Islam (v.1) 									http://hdl.handle.net/2333.1/s7h44v5f		s7h44v5f		fulltext							Ancient World Digital Library	global.5644.217	730929773a		730929773	monograph			1					free
Beiträge zur Geschichte Ägyptens unter dem Islam (v.2) 									http://hdl.handle.net/2333.1/x0k6dvnb		x0k6dvnb		fulltext							Ancient World Digital Library	global.5644.217	730929773b		730929773	monograph			2					free
Beni Hasan v.1 									http://hdl.handle.net/2333.1/573n637x	Percy E. Newberry	573n637x		fulltext							Ancient World Digital Library	global.5644.217	769625867a		769625867	monograph			1					free
Beni Hasan v.2 									http://hdl.handle.net/2333.1/1g1jx2qf	Percy E. Newberry	1g1jx2qf		fulltext							Ancient World Digital Library	global.5644.217	769625867b		769625867	monograph			2					free
Beni Hasan v.3 									http://hdl.handle.net/2333.1/p5hqc7m5	Percy E. Newberry	p5hqc7m5		fulltext							Ancient World Digital Library	global.5644.217	769625867c		769625867	monograph			3					free
Beni Hasan v.4 									http://hdl.handle.net/2333.1/sxksn84g	Percy E. Newberry	sxksn84g		fulltext							Ancient World Digital Library	global.5644.217	769625867d		769625867	monograph			4					free
Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.10 									http://hdl.handle.net/2333.1/4mw6mc5g	W. D. van Wijngaarden	4mw6mc5g		fulltext							Ancient World Digital Library	global.5644.217	842368803i		842368803	monograph								free
Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.11 									http://hdl.handle.net/2333.1/rbnzs9tw	W. D. van Wijngaarden	rbnzs9tw		fulltext							Ancient World Digital Library	global.5644.217	842368803j		842368803	monograph								free
Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.12 									http://hdl.handle.net/2333.1/w3r22bbg	W. D. van Wijngaarden	w3r22bbg		fulltext							Ancient World Digital Library	global.5644.217	842368803k		842368803	monograph								free
Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.13 									http://hdl.handle.net/2333.1/jdfn33z7	W. D. van Wijngaarden	jdfn33z7		fulltext							Ancient World Digital Library	global.5644.217	842368803l		842368803	monograph								free
Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.2 									http://hdl.handle.net/2333.1/sbcc2j28	W. D. van Wijngaarden	sbcc2j28		fulltext							Ancient World Digital Library	global.5644.217	842368803b		842368803	monograph								free
Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.3 									http://hdl.handle.net/2333.1/8931zg02	W. D. van Wijngaarden	8931zg02		fulltext							Ancient World Digital Library	global.5644.217	842368803c		842368803	monograph								free
Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.4 									http://hdl.handle.net/2333.1/d2547ghb	W. D. van Wijngaarden	d2547ghb		fulltext							Ancient World Digital Library	global.5644.217	842368803d		842368803	monograph								free
Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.5 									http://hdl.handle.net/2333.1/nk98shjs	W. D. van Wijngaarden	nk98shjs		fulltext							Ancient World Digital Library	global.5644.217	842368803e		842368803	monograph								free
Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.6 									http://hdl.handle.net/2333.1/ht76hh1n	W. D. van Wijngaarden	ht76hh1n		fulltext							Ancient World Digital Library	global.5644.217	842368803f		842368803	monograph								free
Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.8 									http://hdl.handle.net/2333.1/c2fqz885	W. D. van Wijngaarden	c2fqz885		fulltext							Ancient World Digital Library	global.5644.217	842368803g		842368803	monograph								free
Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.9 									http://hdl.handle.net/2333.1/0vt4bbn4	W. D. van Wijngaarden	0vt4bbn4		fulltext							Ancient World Digital Library	global.5644.217	842368803h		842368803	monograph								free
Birth in Babylonia and the Bible : Its Mediterranean setting 									http://hdl.handle.net/2333.1/zs7h46d5	M. Stol	zs7h46d5		fulltext							Ancient World Digital Library	global.5644.217			1224935169	monograph								free
Briefe aus dem Archive des Šamaś-Hāzir in Paris und Oxford (TCL 7 und OECT 3) 									http://hdl.handle.net/2333.1/0rxwddh2	F.R. Kraus	0rxwddh2		fulltext							Ancient World Digital Library	global.5644.217	1103183575? 		1103183575? 	monograph								free
Briefe aus dem British Museum (CT 52) 									http://hdl.handle.net/2333.1/r7sqvcnp	F.R. Kraus	r7sqvcnp		fulltext							Ancient World Digital Library	global.5644.217			1182548395	monograph								free
Briefe aus dem Istanbuler Museum 									http://hdl.handle.net/2333.1/w0vt4d55	F.R. Kraus	w0vt4d55		fulltext							Ancient World Digital Library	global.5644.217			1182548207	monograph								free
Bubastis (1887-1889) 									http://hdl.handle.net/2333.1/5dv41zsn		5dv41zsn		fulltext							Ancient World Digital Library	global.5644.217	730929778		730929778	monograph								free
Buhen v.7 									http://hdl.handle.net/2333.1/0k6djp2t	David Randall-MacIver	0k6djp2t		fulltext							Ancient World Digital Library	global.5644.217	540967196a		540967196	monograph						7		free
Buhen v.8 									http://hdl.handle.net/2333.1/8w9gj615	David Randall-MacIver	8w9gj615		fulltext							Ancient World Digital Library	global.5644.217	540967196b		540967196	monograph						8		free
