"note","date updated","status","publication_title","print_identifier","online_identifier","date_first_issue_online","num_first_vol_online","num_first_issue_online","date_last_issue_online","num_last_vol_online","num_last_issue_online","title_url","first_author","title_id","embargo_info","coverage_depth","notes","publisher_name","publication_type","date_monograph_published_print","date_monograph_published_online","monograph_volume","monograph_edition","first_editor","parent_publication_title_id","preceding_publication_title_id","access_type","location","title_notes","staff_notes","vendor_id","oclc_collection_name","oclc_collection_id","oclc_entry_id","oclc_linkscheme","oclc_number","ACTION","Aleph BSN","previous_url"
" updated M, AN - JAS 4/6/21",,"modified oclc ws","Catalogue des monuments et inscriptions de l'Égypte antique (t.3.2)",,,,,,,,,"http://hdl.handle.net/2333.1/dz08m0tb",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","730929779b",,730929779,,3459013,"http://dlib.nyu.edu/awdl/books/cataloguedesmonu22egyp"
,,"modified oclc ws","Catalogue général des monuments d'Abydos découverts pendant les fouilles de cette ville",,,,,,,,,"http://hdl.handle.net/2333.1/pg4f51vz",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",747118018,,747118018,,3459014,"http://dlib.nyu.edu/awdl/books/cataloguegnr00mari"
" updated M, AN - JAS 4/6/21",,"oclc ws","Catalogue of Egyptian scarabs, etc., in the British museum /",,,,,,,,,"http://hdl.handle.net/2333.1/xwdbs571",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",744746891,,744746891,,3497267,"http://dlib.nyu.edu/awdl/books/catalogueofegypt00hall"
,,"modified oclc ws","Catalogue of the Egyptian antiquities in the Ashmolean Museum, Oxford /",,,,,,,,,"http://hdl.handle.net/2333.1/t76hf2b2",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",730929782,,730929782,,3459017,"http://dlib.nyu.edu/awdl/books/catalogueofegypt00ashm"
,,"oclc ws","Census of the exact sciences in Sanskrit Series A (v.1)",,,,,,,,,"http://hdl.handle.net/2333.1/dr7sr1xb","David Edwin Pingree",,,"ebook",,,"monograph",,,1,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","619804111a",,619804111,,5986993,
,,"oclc ws","Census of the exact sciences in Sanskrit Series A (v.2)",,,,,,,,,"http://hdl.handle.net/2333.1/905qg1d7","David Edwin Pingree",,,"ebook",,,"monograph",,,2,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","619804111b",,619804111,,5986993,
,,"oclc ws","Census of the exact sciences in Sanskrit Series A (v.3)",,,,,,,,,"http://hdl.handle.net/2333.1/573n60td","David Edwin Pingree",,,"ebook",,,"monograph",,,3,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","619804111c",,619804111,,5986993,
"NEED TO ADD URL FOR V.4. NOT ASSOCIATED AS MULTIVOL IN AWDL -",,"oclc ws","Census of the exact sciences in Sanskrit Series A (v.4)",,,,,,,,,"http://hdl.handle.net/2333.1/2z34tx4j","David Edwin Pingree",,,"ebook",,,"monograph",,,4,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","619804111d",,619804111,"raw",5986993,
"added this to oclc ws as v.1 (double check if they are added correctly, 1/4/2021. jk) -- taken care of oclc ws duplicate entry (check this later if applied)",,"oclc ws","Cercueils anthropoïdes des prêtres de Montou v.1",,,,,,,,,"http://hdl.handle.net/2333.1/2fqz690w","Henri Gauthier",,,,,,"monograph",,,1,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,734083790,,3497385,
,,"modified oclc ws","Cercueils anthropoïdes des prêtres de Montou v.2",,,,,,,,,"http://hdl.handle.net/2333.1/xpnvx8nm","Henri Gauthier",,,,,,"monograph",,,2,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,734083790,,3497385,"http://dlib.nyu.edu/awdl/books/cercueilsanthrop02gaut"
,,"oclc ws","Chester Beatty Biblical papyri IV and V",,,,,,,,,"http://hdl.handle.net/2333.1/4tmpg8x0","Albert Pietersma",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",669336147,,669336147,,4068222,
,,"oclc ws","Christianity, Judaism and Other Greco-Roman Cults, Volume 2: Early Christianity",,,,,,,,,"http://hdl.handle.net/2333.1/1jwstscj","J. Neusner",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",45842663,,45842663,,3710189,
"OCLC record created 3-23-21",,"new title","Circle of Inner Asian Art and Archaeology Newsletter","1363-7126",,1995,,,1995,,,"http://hdl.handle.net/2333.1/r7sqvn4q",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",1242938352,,1242938352,,8048647,
"OCLC record created 3-23-21",,"new title","Circle of Inner Asian Art and Archaeology Newsletter Issue 1",,,,,,,,,"http://hdl.handle.net/2333.1/66t1g3st",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",1242938352,,1242938352,,8048647,
"hold off 
handle ready as of 2020-01-27",,"oclc ws","Circle of Inner Asian Art Newsletter","1364-9418","1364-9418",1995,,,2005,,,"http://hdl.handle.net/2333.1/r7sqvn4q",,,,"fulltext",,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",608108449,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 10",,,,,,,,,"http://hdl.handle.net/2333.1/1g1jww05",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 11",,,,,,,,,"http://hdl.handle.net/2333.1/wstqjsd8",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 12",,,,,,,,,"http://hdl.handle.net/2333.1/s1rn8rwz",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 13",,,,,,,,,"http://hdl.handle.net/2333.1/n8pk0rct",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 14",,,,,,,,,"http://hdl.handle.net/2333.1/hhmgqqvb",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 15",,,,,,,,,"http://hdl.handle.net/2333.1/crjdfqb6",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 16",,,,,,,,,"http://hdl.handle.net/2333.1/80gb5ptw",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 17",,,,,,,,,"http://hdl.handle.net/2333.1/4b8gtm1p",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 18",,,,,,,,,"http://hdl.handle.net/2333.1/0k6djkhb",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 19",,,,,,,,,"http://hdl.handle.net/2333.1/vt4b8k6n",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 2",,,,,,,,,"http://hdl.handle.net/2333.1/2fqz638k",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 20",,,,,,,,,"http://hdl.handle.net/2333.1/r2280jpb",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 3",,,,,,,,,"http://hdl.handle.net/2333.1/xpnvx2x9",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 4",,,,,,,,,"http://hdl.handle.net/2333.1/t1g1k034",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 5",,,,,,,,,"http://hdl.handle.net/2333.1/p8cz8zkh",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 6",,,,,,,,,"http://hdl.handle.net/2333.1/jh9w0z2c",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 7",,,,,,,,,"http://hdl.handle.net/2333.1/dr7sqxk4",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 8",,,,,,,,,"http://hdl.handle.net/2333.1/905qfx21",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
"hold off ",,"in progress","Circle of Inner Asian Art Newsletter Issue 9",,,,,,,,,"http://hdl.handle.net/2333.1/573n5whf",,,,,,,,,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,608108449,,4127464,
,,"modified oclc ws","Collection d'anciennes étoffes égyptiennes",,,,,,,,,"http://hdl.handle.net/2333.1/kprr57mx",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",744746991,,744746991,,3497390,"http://dlib.nyu.edu/awdl/books/collectiondancie00erre"
" updated M, AN - JAS 4/6/21",,"oclc ws","Collection du Docteur Fouquet, du Caire.",,,,,,,,,"http://hdl.handle.net/2333.1/qfttf831",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",746172806,,746172806,,3497681,"http://dlib.nyu.edu/awdl/books/collectiondudoct00fouq"
,,"oclc ws","Columbia papyri IX : the Vestis militaris codex (P.Col. IX)",,,,,,,,,"http://hdl.handle.net/2333.1/m63xsmx8","Jennifer A. Sheridan",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",606325377,,606325377,,4068912,
,,"oclc ws","Columbia Papyri VII",,,,,,,,,"http://hdl.handle.net/2333.1/kwh70xjb","Roger S. Bagnall",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",669331632,,669331632,,4068227,
,,"oclc ws","Columbia papyri VIII (P.Col. VIII)",,,,,,,,,"http://hdl.handle.net/2333.1/7wm37smm","K. A. Worp",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",682467499,,682467499,,4068897,
,,"oclc ws","Columbia papyri X",,,,,,,,,"http://hdl.handle.net/2333.1/h44j148b","Roger S. Bagnall",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",606341826,,606341826,,4068905,
,,"oclc ws","Columbia papyri XI (P.Col. XI)",,,,,,,,,"http://hdl.handle.net/2333.1/qz612ndk","Timothy M. Teeter",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",675979462,,675979462,,4092984,
,,"oclc ws","Corpus des ordonnances des Ptolémées (C. Ord. Ptol.)",,,,,,,,,"http://hdl.handle.net/2333.1/37pvmjmv","Marie-Thérèse Lenger",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",669326571,,669326571,,5684215,
"Updated this line",,"oclc ws","Cult Practices in Ancient Literatures",,,,,,,,,"http://hdl.handle.net/2333.1/5dv41zmf","Franziska Naether",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",1176369802,,1176369802,,7572640,
,,"oclc ws","Cuneiform Inscriptions in the Collection of the Bible Lands Museum Jerusalem : The Emar Tablets",,,,,,,,,"http://hdl.handle.net/2333.1/4b8gtkmk","J.G. Westenholz",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",646929447,,646929447,,3709816,
,,"oclc ws","Currency and Inflation in Fourth Century Egypt",,,,,,,,,"http://hdl.handle.net/2333.1/vq83br0t","Roger S. Bagnall",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",1001271986,,1001271986,,5684875,
"check oclc ws updates has been approved",,"modified oclc ws","Current practice in linked open data for the ancient world",,,,,,,,,"http://doi.org/2333.1/gxd256w7","Tom Elliott",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,1225156132,,4167147,
,,"modified oclc ws","Das Bundesbuch : ein Kommentar",,,,,,,,,"http://hdl.handle.net/2333.1/kprr50bj","Cornelis Houtman",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,1224917304,,3709871,
,,"modified oclc ws","Das Egibi Archiv I v.1",,,,,,,,,"http://hdl.handle.net/2333.1/q83bk5f2","C. Wunsch",,,,,,"monograph",,,,,,1,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,1224935670,,3709841,
,,"modified oclc ws","Das Egibi Archiv I v.2",,,,,,,,,"http://hdl.handle.net/2333.1/kkwh72mg","C. Wunsch",,,,,,"monograph",,,,,,2,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,1224935670,,3709841,
,,"modified oclc ws","Das Kloster am Isisberg : Bericht über die Grabungen der Akademie der Wissenschaften in Wien auf den Friedhöfen von El-Kubanieh, Winter, 1910-1911 : dritter Teil",,,,,,,,,"http://hdl.handle.net/2333.1/zw3r2cdm",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",746172810,,746172810,,3497695,"http://dlib.nyu.edu/awdl/books/dasklosteramisis00junk"
,,"oclc ws","Das Re-heiligtum des Königs Ne-woser-re (Rathures) Bd.1",,,,,,,,,"http://hdl.handle.net/2333.1/fttdz2jb","Friedrich Wilhelm von Bissing",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","919909711a",,919909711,,4571745,
,,"oclc ws","Das Re-heiligtum des Königs Ne-woser-re (Rathures) Bd.2",,,,,,,,,"http://hdl.handle.net/2333.1/b5mkkzrx","Friedrich Wilhelm von Bissing",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","919909711b",,919909711,,4571745,
"updated M, AN - JAS 4/12/21",,"oclc ws","Das Symposion Ptolemaios II /",,,,,,,,,"http://hdl.handle.net/2333.1/3n5tbcrj",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",780204399,,780204399,,3497697,"http://dlib.nyu.edu/awdl/books/dassymposionptol00stud"
,,"oclc ws","Death and taxes : Ostraka in the Royal Ontario Museum I",,,,,,,,,"http://hdl.handle.net/2333.1/h70rz1zt","Alan Edouard Samuel",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",669326398,,669326398,,4068212,
"changed oclc #
",,"modified oclc ws","Debod bis Bab Kalabsche (t.1)",,,,,,,,,"http://hdl.handle.net/2333.1/h1893c35",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","746172812a",,746103390,,3497706,"http://dlib.nyu.edu/awdl/books/debodbisbabkalab01roed"
"changed oclc #
handle points to standalone viewer",,"oclc ws","Debod bis Bab Kalabsche (t.2)",,,,,,,,,"http://hdl.handle.net/2333.1/9w0vtd9b",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","746172812b",,746103390,,3497706,"http://dlib.nyu.edu/awdl/books/debodbisbabkalab02roed"
" updated M, AN - JAS 4/12/21, changed oclc #",,"oclc ws","Debod bis Bab Kalabsche (t.3)",,,,,,,,,"http://hdl.handle.net/2333.1/0zpc8hbd",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","746172812c",,746103390,,3497706,"http://dlib.nyu.edu/awdl/books/debodbisbabkalab03roed"
,,"oclc ws","Décoration égyptienne",,,,,,,,,"http://hdl.handle.net/2333.1/kkwh732t","Gustave Jéquier",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",747117990,,747117990,,4571625,
,,"oclc ws","Dendereh, 1898",,,,,,,,,"http://hdl.handle.net/2333.1/fn2z3dtm","W. M. Flinders Petrie",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",746177324,,746177324,,3498350,
,,"modified oclc ws","Der Tempel von Jerusalem von Salomo bis Herodes : Eine archäologisch-historische Studie unter Berücksichtigung des westsemitischen Tempelbaus, I. Der Tempel Salomons.",,,,,,,,,"http://hdl.handle.net/2333.1/2jm640h5","T.A. Busink",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,561864350,,3709895,
,,"modified oclc ws","Descrizione delle medaglie dei Nômi ossia delle antiche province e città dell'Egitto, che si conservano nel R. Museo di Torino del Cav. Giulio de S. Quintino",,,,,,,,,"http://hdl.handle.net/2333.1/rbnzsjmw",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",746177325,,746177325,,3498355,"http://dlib.nyu.edu/awdl/books/descrizionedelle00muse"
,,"oclc ws","Deshasheh, 1897",,,,,,,,,"http://hdl.handle.net/2333.1/kd51cf9t","W. M. Flinders Petrie",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",746177327,,746177327,,3498360,
,,"oclc ws","Die antiken Vasen von der Akropolis zu Athen, Band 1, Heft 3",,,,,,,,,"http://hdl.handle.net/2333.1/866t1j81","Botho Graef",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","792695127a",,792695127,,4571806,
,,"oclc ws","Die antiken Vasen von der Akropolis zu Athen, Band 1, Heft 4",,,,,,,,,"http://hdl.handle.net/2333.1/0p2ngh7d","Botho Graef",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","792695127b",,792695127,,4571806,
,,"oclc ws","Die Göttin Mr. T. Entstehung und Verehrung einer Personifikation",,,,,,,,,"http://hdl.handle.net/2333.1/0gb5mnb4","W. Guglielmi",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",945908070,,945908070,,3709890,
,,"oclc ws","Die griechische Daniel-Diegese",,,,,,,,,"http://hdl.handle.net/2333.1/1rn8pmqv","Klaus Berger",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",562131679,,562131679,,3710200,
,,"modified oclc ws","Die ḫattisch-hethitischen Bilinguen, I. Einleitung, Texte und Kommentar, Teil 1",,,,,,,,,"http://hdl.handle.net/2333.1/fttdz236","Hans-Siegfried Schuster",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,579028506,,3709856,
,,"modified oclc ws","Die Kultur des alten Ägyptens",,,,,,,,,"http://hdl.handle.net/2333.1/0vt4bkf4",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",616562777,,616562777,,3498363,"http://dlib.nyu.edu/awdl/books/diekulturdesalte00biss"
,,"modified oclc ws","Die Liebe in der altorientalischen Dichtung",,,,,,,,,"http://hdl.handle.net/2333.1/98sf7nsq","Brigitte Musche",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,1224940809,,3710173,
,,"oclc ws","Die Papyri der Universitatsbibliothek Erlangen",,,,,,,,,"http://hdl.handle.net/2333.1/3n5tb734","Wilhelm Schubart",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",970348280,,970348280,,4571795,
"modified URL manually and shared the changes globally on 2-10-2020 jk",,"modified oclc ws","Die Plastik der Ägypter",,,,,,,,,"http://hdl.handle.net/2333.1/83bk3q4p","Hedwig echheimer",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",560383059,,697616080,,3498365,
"modified URL manually and shared the changes globally on 2-10-2020 jk",,"modified oclc ws","Die Reliefs und Malereien des mittleren Reiches (VII.--XVII. Dynastie ca 2475--1580 v. Chr.) : Material zur ägyptischen Kulturgeschichte /",,,,,,,,,"http://hdl.handle.net/2333.1/cvdncqns","Luise Sigwart Klebs",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",866568607,,866568607,,3498366,
" updated M, AN - JAS 4/12/21, changed oclc #",,"oclc ws","Die Sammlung ägyptischer Altertümer im Roemer-Pelizaeus-Museum.",,,,,,,,,"http://hdl.handle.net/2333.1/zs7h4fr1",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",746172813,,746172813,,3497710,"http://dlib.nyu.edu/awdl/books/diesammlunggyp00kays"
,,"oclc ws","Die sassanidischen Staatsinschriften : Studien zur Orthographie und Phonologie des Mittelpersischen der Inschriften zusammen mit einem etymologischen Index des mittelpersischen Wortgutes und einem Textcorpus der behandelten Inschriften. (Textes et mémoires, 8)",,,,,,,,,"http://hdl.handle.net/2333.1/8cz8wc7g","M. Back",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",566176108,,566176108,,3709751,
,,"oclc ws","Die Urkunden des babylonischen Geschäftsmannes Iddin-Marduk v.1 : Zum Handel mit Naturalien im 6. Jahrhundert v. Chr",,,,,,,,,"http://hdl.handle.net/2333.1/kd51c75m","C. Wunsch",,,"ebook",,,"monograph",,,1,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","609535251a",,609535251,,3709843,
,,"oclc ws","Die Urkunden des babylonischen Geschäftsmannes Iddin-Marduk v.2 : Zum Handel mit Naturalien im 6. Jahrhundert v. Chr",,,,,,,,,"http://hdl.handle.net/2333.1/fn2z36n5","C. Wunsch",,,"ebook",,,"monograph",,,2,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217","609535251b",,609535251,,3709843,
,,"oclc ws","Documentary papyri from the Michigan collection",,,,,,,,,"http://hdl.handle.net/2333.1/wh70s3hv","Gerald M. Browne",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",679943776,,679943776,,4068185,
,,"oclc ws","Domination and Resistance : Egyptian Military Activity in the Southern Levant, ca. 1300-1185 B.C.",,,,,,,,,"http://hdl.handle.net/2333.1/6hdr7vhh","Michael G. Hasel",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",645900265,,645900265,,3709757,
,,"oclc ws","Dresses in ancient Egypt = Le costume dans l'Egypte ancienne = al-AzyaÌ„Ê¼ fiÌ„ MisÌ£r al-qadiÌ„mah /",,,,,,,,,"http://hdl.handle.net/2333.1/r4xgxjw0","Aḥmad Badawī",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",746172815,,746172815,,3497714,
"add title manually and shared global on 12/10/2020 jk * Not duplicate (different edition)",,"new title","Early History of the Israelite People: from the written and archaeological sources",,,,,,,,,"http://hdl.handle.net/2333.1/dv41ntvz","Thomas L. Thompson",,,,,,"monograph",,,,,,,,"free",,,"Date of Publication: 2000",,"Ancient World Digital Library","global.5644.217",1225240315,,1225240315,,3710221,
"modified URL manually and shared the changes globally on 2-10-2020 jk* Not duplicate (different edition)",,"modified oclc ws","Early History of the Israelite People: from the written and archaeological sources",,,,,,,,,"http://hdl.handle.net/2333.1/5hqbzn8f","Thomas L. Thompson",,,,,,"monograph",,,,,,,,"free",,,"Date of Publication: 1992",,"Ancient World Digital Library","global.5644.217",622134924,,622134924,,3710181,
,,"modified oclc ws","Égypte",,,,,,,,,"http://hdl.handle.net/2333.1/0k6djt9b",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",900704342,,900704342,,3498436,"http://dlib.nyu.edu/awdl/books/gypte00masp"
"updated M, AN - JAS 4/12/21; changed oclc #",,"oclc ws","Egyptian antiquities in the Pier collection.",,,,,,,,,"http://hdl.handle.net/2333.1/q83bkdp6",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",769625926,,769625926,,3497716,"http://dlib.nyu.edu/awdl/books/egyptianantiquit00pier"
"Updated this line",,"oclc ws","Egyptian cubits and Late Roman architecture",,,,,,,,,"http://hdl.handle.net/2333.1/5tb2rmg1","Corinna Rossi",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",1124934915,,1124934915,,7424173,
,,"modified oclc ws","Egyptian decorative art a course of lectures delivered at the Royal Institution,",,,,,,,,,"http://hdl.handle.net/2333.1/kh189d4t",,,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",908417072,,908417072,,3497719,"http://dlib.nyu.edu/awdl/books/egyptiandecorati00petr"
,,"modified oclc ws","Egyptian Non-Royal Epithets in the Middle Kingdom : A Social and Historical Analysis",,,,,,,,,"http://hdl.handle.net/2333.1/mcvdnfc7","Denise M. Doxey",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,1224935933,,3709882,
,,"oclc ws","Egyptianization and Elite Emulation in Ramesside Palestine : Governance and Accommodation on the Imperial Periphery",,,,,,,,,"http://hdl.handle.net/2333.1/0p2nggs2","Carolyn R. Higginbotham",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",606546040,,606546040,,3709785,
,,"modified oclc ws","Eine Festschrift für Rykle Borger zu seinem 65. Geburtstag am 24. Mai 1994 : Tikip Santakki Mala Bašmu",,,,,,,,,"http://hdl.handle.net/2333.1/9w0vt654","S.M. Maul",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,1224925259,,3709803,
,,"oclc ws","Eine ptolemäische Königsurkunde",,,,,,,,,"http://hdl.handle.net/2333.1/v41ns67r","L. Koenen",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",669326426,,669326426,,4571799,
,,"oclc ws","Epilepsy in Babylonia",,,,,,,,,"http://hdl.handle.net/2333.1/r4xgxfxm","M. Stol",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",614988038,,614988038,,3709838,
,,"oclc ws","Epimerismos",,,,,,,,,"http://hdl.handle.net/2333.1/pvmcvkzc","Günter Poethke",,,"ebook",,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",669336156,,669336156,,5987018,
,,"modified oclc ws","Ersetzen und Entsühnen : Das Mittelhethitische Ersatzritual für den Großkönig Tuth̬alija (CTH *448.4) und verwandte Texte",,,,,,,,,"http://hdl.handle.net/2333.1/c59zw5hn","Piotr Taracha",,,,,,"monograph",,,,,,,,"free",,,,,"Ancient World Digital Library","global.5644.217",,,1224937324,,3709797,
